Estacao;Data;Hora;Evaporacao
83887;19/10/1996;0;2.4
83887;20/10/1996;0;0.3
83887;21/10/1996;0;0.8
83887;22/10/1996;0;2.5
83887;23/10/1996;0;0.6
83887;24/10/1996;0;3.8
83887;25/10/1996;0;2.5
83887;26/10/1996;0;1
83887;27/10/1996;0;2.3
83887;28/10/1996;0;4.2
83887;29/10/1996;0;4.8
83887;30/10/1996;0;5
83887;31/10/1996;0;3.9
83887;01/11/1996;0;0.3
83887;02/11/1996;0;3.1
83887;03/11/1996;0;2.1
83887;04/11/1996;0;2.5
83887;05/11/1996;0;4.6
83887;06/11/1996;0;6.2
83887;07/11/1996;0;5.2
83887;08/11/1996;0;2.8
83887;09/11/1996;0;1.9
83887;10/11/1996;0;1.8
83887;11/11/1996;0;1.3
83887;12/11/1996;0;2
83887;13/11/1996;0;1.8
83887;14/11/1996;0;0.8
83887;15/11/1996;0;3.5
83887;16/11/1996;0;2
83887;17/11/1996;0;1.6
83887;18/11/1996;0;3.1
83887;19/11/1996;0;5.6
83887;20/11/1996;0;4.2
83887;21/11/1996;0;5.2
83887;22/11/1996;0;4.3
83887;23/11/1996;0;5.8
83887;24/11/1996;0;2.9
83887;25/11/1996;0;3.5
83887;26/11/1996;0;4
83887;27/11/1996;0;7.9
83887;28/11/1996;0;7.3
83887;29/11/1996;0;6.5
83887;30/11/1996;0;6
83887;01/12/1996;0;5
83887;02/12/1996;0;6.5
83887;03/12/1996;0;4.2
83887;04/12/1996;0;2.8
83887;05/12/1996;0;4.8
83887;06/12/1996;0;3.7
83887;07/12/1996;0;2.7
83887;08/12/1996;0;2.9
83887;09/12/1996;0;5.5
83887;10/12/1996;0;7.2
83887;11/12/1996;0;1
83887;12/12/1996;0;0
83887;14/12/1996;0;2.8
83887;15/12/1996;0;3.3
83887;16/12/1996;0;5.2
83887;17/12/1996;0;2.3
83887;18/12/1996;0;2.6
83887;19/12/1996;0;4.4
83887;20/12/1996;0;1.7
83887;21/12/1996;0;1.8
83887;22/12/1996;0;1.3
83887;23/12/1996;0;2
83887;24/12/1996;0;4.2
83887;25/12/1996;0;5
83887;26/12/1996;0;4.3
83887;27/12/1996;0;3
83887;28/12/1996;0;1.2
83887;29/12/1996;0;0.3
83887;30/12/1996;0;3.1
83887;31/12/1996;0;6.4
83887;01/01/1997;0;5.7
83887;02/01/1997;0;6.9
83887;03/01/1997;0;7.4
83887;04/01/1997;0;7.3
83887;05/01/1997;0;6
83887;06/01/1997;0;3.8
83887;07/01/1997;0;5.2
83887;08/01/1997;0;5
83887;09/01/1997;0;3
83887;10/01/1997;0;3
83887;11/01/1997;0;3.6
83887;12/01/1997;0;4.4
83887;13/01/1997;0;3
83887;14/01/1997;0;3.7
83887;15/01/1997;0;4.1
83887;16/01/1997;0;4.4
83887;17/01/1997;0;6.8
83887;18/01/1997;0;7.5
83887;19/01/1997;0;5
